amigo, asare
money (cuba), juaniquiqui
alto y flaco, larguirucho
chismoso or gossipy, radiobemba
bus (cuban), rufa
what’s up, que vola
orange, china
bus (puerto rico), guagua
blue jeans, mahones
to drive, guiar
money (puerto rico), chavos
angry, enfogonado
puerto rican, boricua
ripe banana, amarillo
pineapple, acacia
spider, cacata
brave, guapo
famous restaurant near la habana vieja, la bodeguita del medio
market in distrito colonial de santo domingo, mercado modelo
street in old san juan in puerto rico, calle san sebastian
old restaurant of old san juan, la mallorquina
puerto rican singer, ricky martin
cuban singers, celia cruz y gloria estefan
ricky martin born here, hato rey
celia cruz song, reina de la salsa
