to approach, acercarse
to repent, arrepentirse
to dare, atreverse
to become, convertirse
to realize, darse cuenta
to find out, enterarse
to take notice, fijarse
to die, morirse
to forget, olvidarse
to worry, preocuparse
to complain, quejarse
to be surprised, sorprenderse
to go to bed, acostarse
to shave, afeitarse
to get up, levantarse
to dry off, secarse
to take off clothing, quitarse
Nacido en 1927; nicaraguense; pintura, armando morales
compromiso socio-politico; literatura, gioconda belli
artistica exclusivamente las mujeres, mola
nacido en 1918; el salvador; pintura, mauricio puente
vocalista; panamena, ruben blades
ruinas mayas, tikal y copan
establecido en 1975, parque nacional chirripo
platos mas tipicos de el salvador, pupusas
guatemala celebracion, semana santa
panama festival, carnavales
festival en nicaragua, san jeronimo
