mountain range, cordillera
ecuador is the size of, colorado
volcanoes in Ecuador, tungurahua guagua pichincha
capital of Ecuador, quito
big volcano close to quito, cotopaxi
vertientes de los andes en colombia, cordillera oriental
park in the colombia, parque nacional el cocuy
colombia capital, bogota
picos in el cocuy, pan de azucar pulpito del diablo
venezuela capital, caracas
park in venezuela, parque nacional canaima
big waterfall, salto angel
river near caracas, rio churun
big bird in south america, condor
alpaca relative, llama vicuna
big cat, puma
valley near ecuador, mindo
