agotar, to use up
aguantar, to tolerate
amenazar, to threaten
aprobar una ley, to pass a law
analfabeto, illiterate
atasco, traffic jam
almacen, department store
aumento de sueldo, raise in salary
administrar, to manage
ascender, to rise
acosado, harrassed
ahorros, savings
aprovechar, to take advantage of
agotado, exhausted
asesor, consultant
avanzado, advanced
ADN, DNA
avance, advance
alcanzar, to reach
aterrizar, to land
desarrollo, development
danino, harmful
desechable, disposable
delito, crime
desempleo, unemployment
despedir, to fire
deuda, debt
dispuesto, willing
dueno, owner
descargar, to download
desafio, challenge
descubrimiento, discovery
